Product_Name,Rating,Unit,MRP,Actual_Price,Offer,SBC_Offer
Safe Harvest Kashmiri Red Rajma,0,500 g,95,86,9% OFF,12% OFF
Pillsbury Chakki Fresh Atta,4.2,10 kg,490,475,,
Pillsbury Chakki Fresh Atta,4.5,5 kg,270,263,,
Family Farm Almonds,3.8,500 g,500,396,20% OFF,21% OFF
Family Farm Idli Rice,4,1 kg,60,50,16% OFF,20% OFF
Grofers Happy Day Roasted & Salted Flavoured Almonds (Pouch),4.1,200 g,375,196,47% OFF,
Grofers Mother's Choice Unpolished Black Masoor Sabut,4.1,500 g,60,60,,
Grofers Mother's Choice Cumin Powder/Jeera,4.2,50 g,35,22,37% OFF,40% OFF
Grofers Mother's Choice Mogra Basmati Rice,0,5 kg,375,298,20% OFF,21% OFF
Grofers Mother's Choice Mogra Basmati Rice,2.8,1 kg,75,64,14% OFF,17% OFF
Grofers Mother's Choice Paneer Masala,4.1,50 g,40,23,42% OFF,45% OFF
Grofers Mother's Choice Basil Seeds,4.4,100 g,75,50,33% OFF,36% OFF
Safe Harvest Pesticide Free Broken Rice,0,5 kg,250,249,,
Safe Harvest Pesticide Free Broken Rice,3.7,1 kg,50,50,,
Safe Harvest Pesticide Free Unpolished Brown Rice,0,5 kg,439,373,15% OFF,15% OFF
Safe Harvest Pesticide Free Unpolished Brown Rice,3.8,1 kg,90,86,,7% OFF
Safe Harvest Pesticide Free Arhar Dal/Toor Dal,1,500 g,90,81,10% OFF,13% OFF
Safe Harvest Pesticide Free Arhar Dal/Toor Dal,4.4,1 kg,170,155,8% OFF,10% OFF
Safe Harvest Pesticide Free Bengal gram Kala Chana/Brown Chana,0,1 kg,139,128,7% OFF,8% OFF
Safe Harvest Pesticide Free Yellow Moong Dal (Dhuli),3.5,1 kg,170,155,8% OFF,10% OFF
Daawat Rozana Gold Basmati Rice,4.2,5 kg,495,374,24% OFF,26% OFF
Saffola Active Pro Weight Watchers Blended Cooking Oil (Pouch),0,1 l,145,135,6% OFF,8% OFF
Sugar Free Gold Sweetener,4,500 tablets,250,238,,6% OFF
Safe Harvest Raw Sonamasuri Rice,4.1,1 kg,90,78,13% OFF,16% OFF
Safe Harvest Pesticide Free White Urad Dal (Dhuli),4,500 g,85,82,,7% OFF
Grofers Mother's Choice Safawi Dates,0,250 g,315,192,39% OFF,39% OFF
Safe Harvest Pesticide Free Jaggery Powder,4.3,500 g,70,66,5% OFF,8% OFF
Grofers Mother's Choice Long Grain Regular Rice,3,5 kg,490,281,42% OFF,43% OFF
Grofers Mother's Choice Brown Dried Dates,0,200 g,180,88,51% OFF,52% OFF
Safe Harvest Pesticide Free Sharbati Sharbati Wheat,0,1 kg,49,49,,
Safe Harvest Pesticide Free Chana Dal,0,500 g,75,67,10% OFF,14% OFF
Safe Harvest Pesticide Free Chana Dal,4,1 kg,150,137,8% OFF,11% OFF
Grofers Mother's Choice Mini Mogra Basmati Rice,3.4,5 kg,350,272,22% OFF,23% OFF
Grofers Mother's Choice Mini Mogra Basmati Rice,3.4,1 kg,70,59,15% OFF,18% OFF
Grofers Mother's Choice Chole Masala,4,50 g,32,20,37% OFF,40% OFF
Grofers Mother's Choice Kodo Millet/Araka,4.3,500 g,69,68,,
Safe Harvest Pesticide Free Little Millet,4.1,500 g,77,77,,
Safe Harvest Pesticide Free Besan,0,500 g,79,71,10% OFF,12% OFF
Saffola Gold Pro Healthy Lifestyle Edible Oil (Pouch) - Pack of 3,0,3x1 l,477,425,10% OFF,11% OFF
Grofers Mother's Choice Sabzi Masala,3.9,50 g,33,20,39% OFF,42% OFF
Saffola Tasty Pro Fitness Conscious Jar Blended Cooking Oil (Jar),0,5 l,610,600,,
Kohinoor Charminar Everyday Basmati Rice,3.7,5 kg,445,321,27% OFF,28% OFF
Saffola Active Pro Weight Watchers Edible Oil (Jar) + Active Pro Weight Watchers Edible Oil (Pouch) Combo,0,5l + 1l,825,725,12% OFF,12% OFF
Grofers Happy Day Flax Seeds (Pouch),4,100 g,75,27,64% OFF,65% OFF
Kohinoor Dubar Basmati Rice,3.4,5 kg,620,467,24% OFF,27% OFF
Grofers Mother's Choice Pav Bhaji Masala,3.7,50 g,32,20,37% OFF,40% OFF
Saffola Active Pro Weight Watchers Edible Oil (Pouch) - Pack of 3,4.2,3x1 l,435,385,11% OFF,12% OFF
Grofers Mother's Choice Meat Masala,0,50 g,37,21,43% OFF,45% OFF
Grofers Mother's Choice Foxtail Millet,4,500 g,75,68,9% OFF,12% OFF
Grofers Mother's Choice Dosa Rice,0,1 kg,62,48,22% OFF,25% OFF
Sugarlite with half the Calories Sweetener (Pouch),3.7,500 g,99,60,39% OFF,40% OFF
Family Farm Economy Boiled Ponni Rice/Puzhungal Arisi,2.8,10 kg,450,358,20% OFF,
Everest Hing Powder,3.8,100 g,160,160,,
The Boss Economy Boiled Ponni Rice,4,25 kg,1050,926,11% OFF,14% OFF
The Boss Economy Boiled Ponni Rice,1,5 kg,220,209,5% OFF,7% OFF
Family Farm Desi Ghee,2.9,1 l,425,355,16% OFF,16% OFF
Parachute Pure Coconut Oil,4.2,1 l,380,380,,
Dabur Hommade Tomato Puree (Tetra Pak),4.4,200 g,25,25,,
Aadhaar Refined Sunflower Oil (Pouch),4.2,1 l,127,105,17% OFF,
Saffola Active Pro Weight Watchers Blended Cooking Oil (Jar),4.3,5 l,680,669,,
Saffola Gold Pro Healthy Lifestyle Blended Cooking Oil (Jar),0,5 l,825,811,,
Sugar Free Green 100% Natural Sweetener (Pouch),0,200 g,165,149,9% OFF,12% OFF
Sugar Free Green Sweetener,0,300 tablets,215,194,9% OFF,12% OFF
Safe Harvest Pesticide Free Kodo Millet,0,500 g,77,77,,
Dabur Hommade Coconut Milk (Tetra Pak),3.9,200 ml,75,75,,
Figaro Spanish Brand Olive Oil (Tin),5,500 ml,575,525,8% OFF,9% OFF
Fortune Sunlite Refined Sunflower Oil (Jar),0,5 l,685,563,17% OFF,
Sundrop Superlite Advanced Sunflower Oil (Jar),0,3 l,430,406,5% OFF,5% OFF
Sundrop Superlite Advanced Sunflower Oil (Jar),0,5 l,988,988,,
Sundrop Superlite Advanced Sunflower Oil (Pouch),4.2,1 l,195,193,,
Family Farm Premium Arhar Dal/Toor Dal,3.7,1 kg,130,113,13% OFF,16% OFF
Parry's White Label Sugar,0,1 kg,50,49,,
Grofers Mother's Choice Yellow Mustard Seeds,4.1,100 g,20,19,5% OFF,10% OFF
Grofers Mother's Choice Biryani Basmati Rice,4.1,1 kg,215,102,52% OFF,54% OFF
Fortune Everyday Hamesha Basmati Rice,3.6,5 kg,425,301,29% OFF,30% OFF
Daawat Devaaya Basmati Rice,4.3,5 kg,545,429,21% OFF,22% OFF
Family Farm Cow Ghee,0,1 l,425,379,10% OFF,11% OFF
Gowardhan Swarna Pure Cow Ghee (Jar),0,1 l,639,572,10% OFF,10% OFF
Grofers Mother's Choice Gundu Chilli Whole,3.6,100 g,75,40,46% OFF,49% OFF
Family Farm Kabuli Chana,4.1,1 kg,99,98,,
Fortune Health Refined Rice Bran Oil (Pouch),4.3,1 l,130,111,14% OFF,
Fortune Health Refined Rice Bran Oil (Jar),0,5l,675,596,11% OFF,
Orysa Refined Rice Bran Oil,0,1 l,118,118,,
Mr. Gold Filtered Groundnut Oil (Pouch),0,1 l,200,176,12% OFF,13% OFF
Saffola Gold Pro Healthy Lifestyle Edible Oil (5l + 1l) Combo,4.8,5l + 1l,984,795,19% OFF,20% OFF
Grofers Mother's Choice Long Grain Regular Rice (Packet),0,1 kg,120,60,50% OFF,51% OFF
Kohinoor Charminar Long Grains Regular Rice,3.3,5 kg,499,309,38% OFF,38% OFF
Sundrop GoldLite Blended Cooking Oil (Jar),0,5 l,713,713,,
Sugar Free Natura Sweetener,4.6,100 g,145,134,7% OFF,10% OFF
Sugar Free Natura Sweetener,0,300 tablets,190,190,,
Grofers Mother's Choice Rajabhogam Boiled Boiled Ponni Rice/Puzhungal Arisi,3.5,5 kg,350,350,,
24 Mantra Organic Wheat Daliya,0,500 gm,45,45,,
Tata Sampann Unpolished Yellow Moong Dal (Dhuli),4.2,500 g,96,96,,
Grofers Happy Day Imli Laddu Mouth Freshener,0,200 g,120,75,37% OFF,40% OFF
Grofers Happy Day Madrasi Saunf Mouth Freshener,0,180 g,120,76,36% OFF,39% OFF
Grofers Happy Day Aplam Chaplam Mouth Freshener,0,165 g,120,79,34% OFF,36% OFF
Grofers Happy Day Anardana Goli Mouth Freshener,0,210 g,120,81,32% OFF,35% OFF
Grofers Happy Day Heeng Ki Tikiya Mouth Freshener,0,200 g,120,82,31% OFF,34% OFF
Grofers Happy Day Satrangi Mix Mouth Freshener,0,200 g,120,82,31% OFF,34% OFF
Grofers Happy Day Meetha Amla Mouth Freshener,0,160 g,120,85,29% OFF,31% OFF
Grofers Happy Day Dilbahar Mix Mouth Freshener,0,160 g,120,89,25% OFF,28% OFF
Grofers Happy Day Green Mix Mouth Freshener,0,210 g,120,90,25% OFF,27% OFF
Grofers Happy Day Shahi Mix Mouth Freshener,0,180 g,120,98,18% OFF,20% OFF
Naga Roasted Roasted Sooji/Rava,0,1 kg,65,65,,
Grofers Mother's Choice Sihore Sharbati Sharbati Wheat,4.7,1 kg,79,65,17% OFF,20% OFF
Sugar Free Natura Diet Sweetener,4.7,80 g,240,228,5% OFF,5% OFF
