,product,category,brand,mrp,sp,discount,sku,description,url
190,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,28.75,23.00,20,10000168,Banana - Raw Green,/pd/10000168/fresho-banana-raw-green-500-g/
191,fruits-vegetables,Seasonal Fruits,Fresho,225.00,219.00,6,20000727,"Dates - Kimia, with Seed",/pd/20000727/fresho-dates-kimia-with-seed-1-pc/
192,fruits-vegetables,"Cut Fruit, Tender Coconut",Fresho,46.25,37.00,20,40073760,Tender Coconut - Small,/pd/40073760/fresho-tender-coconut-small-1-pc/
193,fruits-vegetables,Organic Fruits,Fresho,65.00,52.00,20,40023482,Watermelon - Organically Grown,/pd/40023482/fresho-watermelon-organically-grown-1-pc/
194,fruits-vegetables,Apples & Pomegranate,Fresho,161.25,129.00,20,10000005,Apple - Royal Gala Economy,/pd/10000005/fresho-apple-royal-gala-economy-4-pcs/
195,fruits-vegetables,Organic Vegetables,Fresho,15.00,12.00,20,40020581,Fresh Turmeric - Organically Grown,/pd/40020581/fresho-fresh-turmeric-organically-grown-250-g/
196,fruits-vegetables,Organic Vegetables,Fresho,95.00,76.00,20,40023469,Beans - Organically Grown,/pd/40023469/fresho-beans-organically-grown-500-g/
197,fruits-vegetables,Cucumber & Capsicum,Fresho,11.25,9.00,20,10000101,Cucumber - Mangalore,/pd/10000101/fresho-cucumber-mangalore-500-g/
198,fruits-vegetables,Organic Fruits,Fresho,56.25,45.00,20,50000534,Muskmelon - Organically Grown,/pd/50000534/fresho-muskmelon-organically-grown-1-pc/
199,fruits-vegetables,Leafy Vegetables,Fresho,15.00,12.00,20,20000756,Basale Leaf,/pd/20000756/fresho-basale-leaf-250-g/
200,fruits-vegetables,Exotic Vegetables,Fresho,32.50,26.00,20,10000133,Lettuce - Iceberg,/pd/10000133/fresho-lettuce-iceberg-500-g/
201,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,48.75,39.00,20,40083737,Mosambi - Premium,/pd/40083737/fresho-mosambi-premium-4-pcs/
202,fruits-vegetables,Leafy Vegetables,Fresho,47.50,38.00,20,10000380,Papaya - Raw,/pd/10000380/fresho-papaya-raw-1-kg/
203,fruits-vegetables,Organic Vegetables,Fresho,12.50,10.00,20,50000483,Coccinia - Organically Grown,/pd/50000483/fresho-coccinia-organically-grown-250-g/
204,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,52.50,42.00,20,10000141,Muskmelon -  Netted Small,/pd/10000141/fresho-muskmelon-netted-small-1-pc/
205,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,22.50,18.00,20,10000281,Pumpkin - Disco,/pd/10000281/fresho-pumpkin-disco-500-g/
206,fruits-vegetables,Exotic Fruits,Fresho,76.25,61.00,20,40019777,Grapes - Red Globe  Indian,/pd/40019777/fresho-grapes-red-globe-indian-500-g/
207,fruits-vegetables,Organic Vegetables,Fresho,18.75,15.00,20,50000478,"Capsicum - Green, Organically Grown",/pd/50000478/fresho-capsicum-green-organically-grown-250-g/
208,fruits-vegetables,Apples & Pomegranate,Fresho,173.75,139.00,20,40033817,"Apple - Green, Premium",/pd/40033817/fresho-apple-green-premium-4-pcs/
209,fruits-vegetables,Apples & Pomegranate,Fresho,347.50,278.00,20,1203789,"Apple - Green, Premium",/pd/1203789/fresho-apple-green-premium-2x4-pcs/
210,fruits-vegetables,Apples & Pomegranate,Fresho,347.50,278.00,20,1203789,"Apple - Green, Premium",/pd/1203789/fresho-apple-green-premium-2x4-pcs/
211,fruits-vegetables,Organic Vegetables,Fresho,51.25,41.00,20,50000555,Sweet Potato - Organically Grown,/pd/50000555/fresho-sweet-potato-organically-grown-500-g/
212,fruits-vegetables,Cut & Peeled Veggies,Fresho,47.50,38.00,20,40010687,Garlic - Peeled,/pd/40010687/fresho-garlic-peeled-100-g/
213,fruits-vegetables,Cut & Peeled Veggies,Fresho,142.50,114.00,20,1203447,Garlic - Peeled,/pd/1203447/fresho-garlic-peeled-3x100-g/
214,fruits-vegetables,Cut & Peeled Veggies,Fresho,47.50,38.00,20,40010687,Garlic - Peeled,/pd/40010687/fresho-garlic-peeled-100-g/
215,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,20.00,16.00,20,40179390,Baby Banana - Robusta,/pd/40179390/fresho-baby-banana-robusta-1-kg/
216,fruits-vegetables,Apples & Pomegranate,Fresho,218.75,175.00,20,40105380,"Apple - Royal Gala, Premium",/pd/40105380/fresho-apple-royal-gala-premium-4-pcsapprox600-g-700-g/
217,fruits-vegetables,Apples & Pomegranate,Fresho,437.50,350.00,20,1203782,"Apple - Royal Gala, Premium",/pd/1203782/fresho-apple-royal-gala-premium-2x4-pcs/
218,fruits-vegetables,Apples & Pomegranate,Fresho,437.50,350.00,20,1203782,"Apple - Royal Gala, Premium",/pd/1203782/fresho-apple-royal-gala-premium-2x4-pcs/
219,fruits-vegetables,Organic Vegetables,Fresho,27.50,22.00,20,50000466,Bitter Gourd - Organically Grown,/pd/50000466/fresho-bitter-gourd-organically-grown-250-g/
220,fruits-vegetables,Mangoes,Fresho,201.25,161.00,20,10000308,Malgoa Mango,/pd/10000308/fresho-malgoa-mango-1-kg/
221,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,38.75,31.00,20,10000372,Tinda,/pd/10000372/fresho-tinda-250-g/
222,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,23.75,19.00,20,10000056,"Brinjal - Green, Long",/pd/10000056/fresho-brinjal-green-long-500-g/
223,fruits-vegetables,Exotic Vegetables,Fresho,12.50,10.00,20,20000926,Baby Corn - Unpeeled,/pd/20000926/fresho-baby-corn-unpeeled-250-g/
224,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,37.50,30.00,20,10000581,Banana - Red,/pd/10000581/fresho-banana-red-500-g/
225,fruits-vegetables,Exotic Fruits,Fresho,63.75,51.00,20,30000466,Fresh Figs,/pd/30000466/fresho-fresh-figs-250-g/
226,fruits-vegetables,Roses,Fresho,38.75,31.00,20,40054182,Cut Roses,/pd/40054182/fresho-cut-roses-250-g/
227,fruits-vegetables,Seasonal Fruits,Fresho,173.75,139.00,20,20001095,Apricot - Dried,/pd/20001095/fresho-apricot-dried-200-g/
